family,book01aa,book01ab,book01ac,book01ad,book02aa,book02ab,book02ac,book02ad,book03aa,book03ab,book03ac,book03ad,book04aa,book04ab,book04ac,book04ad,book05aa,book05ab,book05ac,book05ad,book06aa,book06ab,book06ac,book06ad,book07aa,book07ab,book07ac,book07ad,book08aa,book08ab,book08ac,book08ad,book09aa,book09ab,book09ac,book09ad,book10aa,book10ab,book10ac,book10ad,book11aa,book11ab,book11ac,book11ad,book12aa,book12ab,book12ac,book12ad
Austronesian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07440476190476188,0.0,0.0,0.0,0.0,0.0,0.09578544061302678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11737089201877933,0.0,0.0,0.0,0.0,0.07610350076103498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celtic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12820512820512822,0.0,0.0,0.12315270935960591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12224938875305623,0.0,0.0,0.0,0.0,0.11600928074245939,0.0,0.0,0.24390243902439024,0.38461538461538447,0.0,0.0,0.0,0.0
Germanic,47.764820213799794,55.157657657657666,52.07258834765998,53.93162393162394,46.38027048528243,41.90476190476191,54.26447574334898,54.08496732026143,47.87685774946923,50.40584415584417,53.939393939393945,54.154447702834794,54.0986790986791,52.21354166666666,55.22222222222221,54.52536231884058,57.29166666666666,53.33747927031508,45.52991452991454,42.02586206896551,48.19479429051217,46.23973727422003,51.264216972878394,49.13544668587897,50.12165450121654,48.32175925925926,58.845738942826316,50.8896797153025,43.955399061032864,56.32664437012264,48.0721393034826,52.45271867612295,50.17580872011251,49.20091324200913,53.70823145884272,54.967248908296924,50.506893755068944,52.375649591685224,51.83741648106905,49.09126063418406,51.0093896713615,52.21774193548386,53.3130081300813,53.16239316239315,52.53164556962026,53.58565737051794,51.80000000000001,57.52873563218391
Hellenic,0.29154518950437314,0.0,0.8595988538681949,1.0256410256410255,0.0,0.5128205128205128,0.4694835680751173,0.2904865649963688,0.743099787685775,0.0,0.6060606060606062,0.5865102639296187,0.2331002331002331,0.22321428571428567,0.6666666666666665,0.4710144927536232,0.5434782608695652,0.0,0.25641025641025644,0.8620689655172412,0.7556675062972292,0.3694581280788177,0.26246719160104987,0.2881844380403458,0.36496350364963503,0.3472222222222222,0.6472491909385114,0.35587188612099646,0.0,0.3344481605351171,0.0,0.47281323877068565,0.4922644163150491,0.0,0.24449877750611246,0.6550218340611352,0.0,0.6310319227913881,0.779510022271715,0.0,0.4225352112676055,0.0,1.707317073170732,0.25641025641025633,0.31645569620253167,0.0,0.13333333333333336,0.3448275862068966
Indo-Iranian,0.09718172983479102,0.09009009009009009,0.0,0.08547008547008546,0.07955449482895782,0.07326007326007325,0.0,0.0726216412490922,0.10615711252653928,0.10822510822510822,0.0,0.0,0.07770007770007768,0.07440476190476188,0.07407407407407404,0.07246376811594203,0.0,0.0,0.08547008547008547,0.0,0.0,0.0,0.08748906386701662,0.09606147934678193,0.0,0.0,0.3236245954692557,0.0,0.11737089201877933,0.0,0.12437810945273634,0.11820330969267141,0.07032348804500702,0.07610350076103498,0.08149959250203748,0.07278020378457058,0.08110300081103,0.07423904974016331,0.07423904974016331,0.07733952049497292,0.09389671361502344,0.3584229390681002,0.08130081300813007,0.08547008547008543,0.10548523206751054,0.13280212483399734,0.13333333333333336,0.0
Japonic,0.0,0.0,0.28653295128939826,0.0,0.0,0.07326007326007325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333336,0.0
Latinate,51.554907677356645,44.48198198198199,46.064947468958934,44.82905982905983,53.18217979315831,56.996336996337,44.913928012519555,45.22512708787217,50.955414012738856,48.998917748917755,45.45454545454546,44.672531769305955,44.30846930846931,47.07961309523808,43.25925925925925,44.60507246376812,41.48550724637681,46.04063018242122,53.48717948717949,56.58524904214559,50.41981528127624,52.77504105090311,48.254593175853024,49.615754082612874,48.783454987834546,50.636574074074076,38.56526429341963,48.39857651245552,55.80985915492958,42.670011148272025,51.61691542288558,46.06973995271869,48.73417721518986,50.418569254185684,45.110024449877756,43.64992721979621,48.92538523925384,46.47364513734224,46.97475872308834,49.78731631863882,47.769953051643185,46.21415770609318,44.288617886178855,45.47008547008545,46.88818565400844,45.4847277556441,47.20000000000001,41.95402298850575
Other,0.14577259475218657,0.0,0.28653295128939826,0.0,0.11933174224343676,0.21978021978021978,0.23474178403755866,0.21786492374727667,0.15923566878980894,0.16233766233766234,0.0,0.14662756598240467,0.4662004662004662,0.22321428571428567,0.44444444444444436,0.0,0.4076086956521739,0.2487562189054726,0.12820512820512822,0.1436781609195402,0.3778337531486146,0.24630541871921183,0.13123359580052493,0.5763688760806917,0.18248175182481752,0.1736111111111111,0.8090614886731393,0.35587188612099646,0.0,0.5016722408026757,0.18656716417910454,0.35460992907801425,0.3164556962025316,0.11415525114155248,0.24449877750611246,0.21834061135371174,0.24330900243309003,0.3340757238307349,0.22271714922048996,0.23201856148491878,0.5633802816901406,0.4032258064516127,0.12195121951219512,0.38461538461538447,0.0,0.0,0.0,0.0
Semitic,0.14577259475218657,0.2702702702702703,0.4297994269340974,0.1282051282051282,0.23866348448687352,0.21978021978021978,0.11737089201877933,0.10893246187363834,0.15923566878980894,0.3246753246753247,0.0,0.439882697947214,0.5827505827505828,0.11160714285714284,0.33333333333333326,0.3260869565217392,0.2717391304347826,0.3731343283582089,0.3846153846153847,0.2873563218390804,0.2518891687657431,0.24630541871921183,0.0,0.2881844380403458,0.5474452554744526,0.5208333333333333,0.8090614886731393,0.0,0.0,0.16722408026755856,0.0,0.5319148936170215,0.21097046413502107,0.11415525114155248,0.48899755501222497,0.4366812227074235,0.24330900243309003,0.11135857461024497,0.11135857461024498,0.23201856148491878,0.14084507042253516,0.5376344086021503,0.0,0.25641025641025633,0.15822784810126583,0.7968127490039842,0.6000000000000002,0.1724137931034483
Turkic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2331002331002331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46403712296983757,0.0,0.26881720430107514,0.24390243902439024,0.0,0.0,0.0,0.0,0.0

