family,book01aa,book01ab,book01ac,book01ad,book01ae,book01af,book01ag,book01ah,book01ai,book01aj,book02aa,book02ab,book02ac,book02ad,book02ae,book02af,book02ag,book02ah,book02ai,book02aj,book03aa,book03ab,book03ac,book03ad,book03ae,book03af,book03ag,book03ah,book03ai,book03aj,book04aa,book04ab,book04ac,book04ad,book04ae,book04af,book04ag,book04ah,book04ai,book04aj,book05aa,book05ab,book05ac,book05ad,book05ae,book05af,book05ag,book05ah,book05ai,book05aj,book06aa,book06ab,book06ac,book06ad,book06ae,book06af,book06ag,book06ah,book06ai,book06aj,book07aa,book07ab,book07ac,book07ad,book07ae,book07af,book07ag,book07ah,book07ai,book07aj,book08aa,book08ab,book08ac,book08ad,book08ae,book08af,book08ag,book08ah,book08ai,book08aj,book09aa,book09ab,book09ac,book09ad,book09ae,book09af,book09ag,book09ah,book09ai,book09aj,book10aa,book10ab,book10ac,book10ad,book10ae,book10af,book10ag,book10ah,book10ai,book10aj,book11aa,book11ab,book11ac,book11ad,book11ae,book11af,book11ag,book11ah,book11ai,book11aj,book12aa,book12ab,book12ac,book12ad,book12ae,book12af,book12ag,book12ah,book12ai,book12aj
Austronesian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16750418760469016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19157088122605362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27548209366391174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15082956259426844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celtic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27932960893854747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22831050228310507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25125628140703515,0.0,0.0,0.0,0.0,0.0,0.0,0.5235602094240838,0.4926108374384237,0.0,0.2688172043010752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germanic,51.864801864801855,46.16858237547893,58.57699805068226,57.85163776493257,59.12951167728238,58.92094017094016,50.459770114942536,58.89846743295019,57.20973782771536,50.38095238095237,55.52763819095479,48.21428571428571,49.06976744186046,47.987117552334944,46.42313546423136,56.44654088050315,55.08547008547009,58.737864077669904,58.0607476635514,56.63430420711975,51.55555555555556,50.31446540880503,49.87179487179486,54.1932059447983,57.0945945945946,52.38095238095238,64.39393939393939,52.50000000000001,57.713963963963955,59.81262327416172,58.553791887125236,53.77428998505231,57.137518684603876,55.06700167504189,57.73524720893141,59.683641975308646,57.03405017921146,52.02279202279203,60.194585448392566,58.071748878923756,58.84458077709611,59.61145194274029,59.344660194174764,59.42857142857143,53.00179211469535,52.327746741154556,47.45989304812835,44.53216374269006,40.27777777777777,47.78420038535646,52.31239092495638,48.74551971326164,52.73437500000001,56.457194899817864,43.79528985507247,55.47337278106508,54.34065934065934,57.91666666666668,50.69444444444444,53.00000000000001,53.954802259886996,54.25055928411632,50.746268656716424,52.196382428940574,54.85074626865672,62.53229974160206,61.07594936708861,60.30092592592592,58.11965811965812,50.12919896640827,43.93939393939393,52.47584541062802,49.79674796747967,57.09219858156028,63.38383838383839,51.62907268170425,47.131147540983605,59.16030534351144,52.89855072463767,56.44208037825058,49.74747474747474,51.90677966101695,60.65040650406504,51.43288084464555,50.302245250431774,57.00152207001523,59.9740932642487,49.958333333333336,53.784403669724774,63.77627627627629,54.76782752902156,49.36548223350255,62.328767123287676,56.70731707317074,50.6568144499179,54.56349206349207,59.96810207336524,54.087301587301596,52.126736111111114,50.75376884422111,50.79840319361277,58.99999999999999,57.007575757575765,54.811507936507944,58.01486199575372,58.58585858585858,54.75567190226876,53.77668308702792,56.547619047619044,61.29032258064515,53.93374741200827,49.999999999999986,63.64942528735632,54.938271604938265,55.462184873949575,54.040404040404034,59.02777777777778,55.6047197640118,58.568075117370896,62.46719160104986
Hellenic,0.6993006993006992,0.0,0.0,0.0,0.6369426751592357,1.282051282051282,0.0,1.4367816091954022,0.8426966292134831,1.1428571428571428,0.0,0.0,0.0,0.9661835748792271,0.15220700152207003,0.0,1.0256410256410258,0.0,0.6230529595015576,0.0,1.3333333333333335,0.20964360587002093,0.7692307692307693,0.0,0.0,0.6493506493506493,0.7575757575757576,0.625,0.6756756756756757,0.0,0.0,0.4484304932735427,0.0,0.5025125628140705,0.0,0.462962962962963,0.5376344086021506,0.5698005698005697,0.0,0.8221225710014947,0.0,0.6134969325153373,0.48543689320388356,0.0,0.0,0.0,0.5347593582887702,0.5847953216374269,1.1494252873563218,0.0,0.0,1.6129032258064515,0.0,0.0,0.8152173913043478,0.591715976331361,0.0,0.0,0.5952380952380952,0.0,0.847457627118644,0.0,0.0,0.7751937984496123,0.0,0.7751937984496124,0.6329113924050633,0.0,0.0,0.7751937984496124,0.0,0.0,0.0,0.7092198581560284,0.0,0.0,0.0,0.0,0.8695652173913042,0.23640661938534274,1.1784511784511782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9174311926605507,0.0,0.0,0.0,0.0,0.7317073170731708,0.6568144499178983,0.4761904761904762,1.196172248803828,0.0,0.0,0.0,0.8982035928143712,0.0,0.0,0.0,0.0,1.8181818181818177,1.0471204188481675,0.9852216748768474,0.0,0.0,0.0,0.0,0.8620689655172413,0.0,0.0,0.2525252525252525,0.0,0.8849557522123892,0.0,0.0
Indo-Iranian,0.0,0.0,0.19493177387914223,0.19267822736030826,0.0,0.0,0.0,0.0,0.18726591760299624,0.0,0.0,0.17006802721088432,0.15503875968992245,0.1610305958132045,0.15220700152207003,0.0,0.0,0.0,0.1557632398753894,0.0,0.22222222222222218,0.20964360587002093,0.2564102564102564,0.2123142250530785,0.0,0.0,0.0,0.0,0.0,0.0,0.17636684303350975,0.0,0.0,0.16750418760469016,0.15948963317384368,0.154320987654321,0.17921146953405015,0.0,0.16920473773265654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17825311942959002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19723865877712027,0.0,0.1851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6329113924050633,0.0,0.0,0.0,0.0,0.0,0.2710027100271002,0.0,0.0,0.25062656641604003,0.0,0.0,0.289855072463768,0.0,0.16835016835016833,0.14124293785310732,0.16260162601626013,0.0,0.0,0.0,0.0,0.16666666666666663,0.0,0.0,0.0,0.16920473773265654,0.15220700152206998,0.16260162601626016,0.0,0.0,0.0,0.15873015873015872,0.17361111111111108,0.1675041876046901,0.19960079840319359,0.0,0.1893939393939394,0.1984126984126984,0.6369426751592357,0.20202020202020193,0.1745200698080279,0.0,0.1984126984126984,0.0,0.20703933747412,0.2415458937198067,0.2873563218390804,0.30864197530864185,0.28011204481792706,0.2525252525252525,0.0,0.294985250737463,0.0,0.0
Japonic,0.0,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.1610305958132045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525252525252525,0.0,0.0,0.0,0.0
Latinate,47.086247086247084,53.544061302681996,40.935672514619874,41.955684007707134,39.91507430997878,38.83547008547008,48.50574712643678,39.66475095785441,41.479400749063664,47.904761904761905,43.96984924623116,51.36054421768708,50.542635658914726,50.72463768115942,52.5875190258752,43.31761006289308,43.119658119658126,40.776699029126206,40.92679127725857,43.122977346278326,46.55555555555556,48.63731656184486,49.10256410256411,44.95753715498938,42.567567567567565,46.969696969696955,34.84848484848485,46.5625,41.61036036036036,39.595660749506905,40.47619047619049,45.10463378176382,41.29297458893871,43.84422110552765,42.10526315789473,39.00462962962963,41.17383512544803,46.98005698005698,39.63620981387479,41.10612855007474,40.23517382413088,39.46830265848671,39.68446601941748,40.28571428571429,46.191756272401435,46.83426443202979,51.29233511586454,54.29824561403509,58.093869731800766,52.215799614643565,47.687609075043646,48.297491039426525,46.484375,43.26958105646631,55.117753623188406,43.73767258382642,45.38461538461538,41.342592592592595,46.92460317460318,46.42857142857143,44.77401129943502,44.74272930648769,48.88059701492538,46.2532299741602,44.77611940298508,35.917312661498705,36.075949367088604,38.657407407407405,41.88034188034188,48.32041343669251,55.78512396694213,47.524154589371975,49.93224932249322,41.843971631205676,35.1010101010101,47.74436090225563,52.45901639344262,39.31297709923664,45.07246376811594,43.32151300236406,48.90572390572391,46.89265536723164,38.699186991869915,48.19004524886876,49.43868739205527,42.08523592085237,39.50777202072539,48.12500000000001,43.922018348623865,35.0975975975976,44.7346600331675,50.21150592216583,37.06240487062405,41.66666666666667,47.70114942528736,44.24603174603175,38.83572567783094,45.27777777777778,47.17881944444444,47.31993299832496,48.10379241516966,40.0,42.234848484848484,44.09722222222222,39.437367303609335,38.48484848484848,43.49912739965096,44.2528735632184,42.956349206349195,37.90322580645161,44.927536231884055,49.75845410628019,35.20114942528736,44.290123456790106,43.83753501400559,44.06565656565656,40.97222222222222,43.21533923303834,41.07981220657277,36.745406824146976
Other,0.0,0.28735632183908044,0.0,0.0,0.0,0.9615384615384615,0.0,0.0,0.0,0.0,0.0,0.25510204081632654,0.23255813953488372,0.0,0.22831050228310507,0.2358490566037736,0.25641025641025644,0.0,0.23364485981308414,0.24271844660194178,0.0,0.31446540880503143,0.0,0.0,0.33783783783783783,0.0,0.0,0.0,0.0,0.2958579881656805,0.0,0.22421524663677134,0.8968609865470852,0.25125628140703526,0.0,0.462962962962963,0.5376344086021506,0.2136752136752137,0.0,0.0,0.6134969325153375,0.30674846625766866,0.24271844660194178,0.2857142857142857,0.2688172043010753,0.0,0.2673796791443851,0.0,0.28735632183908044,0.0,0.0,1.3440860215053765,0.26041666666666663,0.0,0.2717391304347826,0.0,0.27472527472527475,0.5555555555555557,1.7857142857142856,0.0,0.423728813559322,0.0,0.0,0.0,0.373134328358209,0.0,0.949367088607595,0.6944444444444444,0.0,0.7751937984496124,0.0,0.0,0.0,0.0,1.1363636363636362,0.3759398496240601,0.40983606557377045,0.7633587786259541,0.4347826086956521,0.0,0.0,0.635593220338983,0.0,0.2262443438914027,0.0,0.45662100456621013,0.0,0.0,0.9174311926605507,0.4504504504504505,0.0,0.0,0.45662100456621,0.7317073170731709,0.4926108374384237,0.4761904761904762,0.0,0.4761904761904762,0.0,0.0,0.0,0.6666666666666667,0.5681818181818182,0.2976190476190476,0.6369426751592357,0.3030303030303029,0.0,0.0,0.2976190476190476,0.5376344086021504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semitic,0.3496503496503496,0.0,0.2923976608187134,0.0,0.3184713375796179,0.0,0.3448275862068966,0.0,0.2808988764044944,0.5714285714285714,0.5025125628140704,0.0,0.0,0.0,0.45662100456621013,0.0,0.5128205128205129,0.48543689320388345,0.0,0.0,0.33333333333333337,0.31446540880503143,0.0,0.6369426751592357,0.0,0.0,0.0,0.3125,0.0,0.2958579881656805,0.7936507936507939,0.0,0.672645739910314,0.0,0.0,0.2314814814814815,0.5376344086021506,0.2136752136752137,0.0,0.0,0.3067484662576688,0.0,0.24271844660194178,0.0,0.5376344086021506,0.5586592178770949,0.2673796791443851,0.5847953216374269,0.0,0.0,0.0,0.0,0.5208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,1.006711409395973,0.3731343283582089,0.7751937984496123,0.0,0.7751937984496124,0.6329113924050633,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.3546099290780142,0.37878787878787873,0.0,0.0,0.7633587786259541,0.4347826086956521,0.0,0.0,0.423728813559322,0.4878048780487805,0.0,0.2590673575129534,0.22831050228310507,0.5181347150259068,0.75,0.45871559633027537,0.6756756756756758,0.49751243781094534,0.25380710659898487,0.0,0.0,0.4926108374384237,0.2380952380952381,0.0,0.0,0.0,0.5025125628140703,0.0,0.33333333333333337,0.0,0.5952380952380952,0.6369426751592357,0.0,0.0,0.4926108374384237,0.0,0.0,0.9316770186335402,0.0,0.0,0.46296296296296285,0.42016806722689065,1.1363636363636362,0.0,0.0,0.35211267605633806,0.7874015748031494
Turkic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4484304932735427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5208333333333333,1.0050251256281406,0.0,0.0,0.0,0.0,0.6369426751592357,0.6060606060606059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
