family,book01,book02,book03,book04,book05,book06,book07,book08,book09,book10,book11,book12
Austronesian,0.0,0.0,0.0,0.026730820636193524,0.031836994587710915,0.0,0.0,0.04074979625101874,0.027800945232137893,0.0,0.0,0.0
Celtic,0.0,0.0,0.0,0.0,0.04775549188156638,0.0484027105517909,0.0,0.0,0.04170141784820684,0.04149377593360995,0.13761467889908255,0.0
Germanic,45.95593108018556,44.04457694491766,46.363801233224514,48.55519914461374,43.35243553008596,41.80219425621168,45.91307814992027,44.305215973920134,45.20433694745622,43.96957123098202,47.217125382263,46.26262626262627
Hellenic,0.7952286282306162,0.4826802952867688,0.6891548784911133,0.5747126436781608,0.4775549188156638,0.5646982897708939,0.5980861244019139,0.16299918500407495,0.52821795941062,0.5255878284923927,0.7798165137614678,0.28282828282828276
Indo-Iranian,0.03313452617627567,0.028392958546280517,0.03627130939426912,0.026730820636193524,0.031836994587710915,0.03226847370119393,0.11961722488038277,0.04074979625101874,0.027800945232137893,0.0276625172890733,0.1223241590214067,0.0404040404040404
Japonic,0.09940357852882703,0.028392958546280517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404040404040404
Latinate,52.76838966202783,55.03265190232823,52.42110990206747,50.09489441325848,55.43775867558103,57.06840916424654,52.232854864433804,54.96128769356153,53.502919099249375,54.89626556016597,50.825688073394495,52.88888888888889
Other,0.19880715705765406,0.12776831345826234,0.16322089227421108,0.32076984763432226,0.28653295128939826,0.38722168441432725,0.4784688995215311,0.24449877750611246,0.37531276063386165,0.12448132780082985,0.3211009174311926,0.0
Semitic,0.14910536779324055,0.2555366269165247,0.32644178454842215,0.3207698476343223,0.3342884431709646,0.0968054211035818,0.6578947368421053,0.24449877750611246,0.29190992493744794,0.2489626556016597,0.4128440366972477,0.48484848484848486
Turkic,0.0,0.0,0.0,0.08019246190858058,0.0,0.0,0.0,0.0,0.0,0.1659751037344398,0.18348623853211005,0.0

